11,1.92,0.01,1,0
12,18.93,0.15,1,0
13,4.67,0.04,1,0
14,6,0.05,1,0
15,2.63,0.02,1,0
17,12.28,0.09,1,0
18,13.75,0.11,1,0
19,12.09,0.09,0,0
20,5.94,0.05,1,0
21,7.62,0.06,0,0
22,8.62,0.07,1,0
23,9.87,0.08,1,0
0,4,0.03,1,0
1,9.67,0.07,0,0
2,8.83,0.07,1,0
3,6.66,0.05,0,0
4,2.62,0.02,1,0
5,1.06,0.01,1,0
6,14.81,0.11,1,0
7,4.63,0.04,1,0
8,21,0.17,1,0
9,12.32,0.09,1,0
10,2.02,0.02,1,0
11,0.44,0,0,1
12,43.98,0.35,1,1
13,55.45,0.43,1,1
14,50.5,0.39,1,0
15,21.13,0.16,0,0
17,31.94,0.24,0,0
18,14.06,0.11,0,0
19,18.75,0.14,1,0
20,1.75,0.01,0,0
21,12.73,0.1,0,0
22,9.56,0.07,1,0
23,8.98,0.07,0,0
0,6.67,0.05,1,0
1,17.36,0.13,0,0
2,0.13,0,0,0
3,13.04,1,1,0
4,17.36,0.13,0,0
5,7.28,0.06,0,0
6,14.58,0.11,0,1
7,49.92,0.38,0,0
8,22.16,0.17,1,0
9,16.6,0.13,1,0
10,8.06,0.06,1,0
11,23.99,0.19,1,0
12,38.49,0.3,0,0
13,6.84,0.05,1,0
14,6.62,0.05,0,0
15,1.25,0.01,1,0
17,15.21,0.12,0,0
18,6.13,0.05,1,0
19,26.1,0.2,0,0
20,1.01,0.01,1,0
21,17.25,0.13,0,0
22,9.46,0.07,0,0
23,8.79,0.07,1,0
0,9.27,0.07,1,0
1,1.52,0.01,0,0
2,11.38,0.09,1,0
3,6,0.05,0,0
4,28.25,0.22,0,0
5,15.85,0.12,0,0
6,33.08,0.26,1,0
7,25.26,0.2,1,1
8,44.77,0.35,1,1
9,58.78,0.45,0,0
10,3.25,0.03,1,0
11,3.75,0.03,1,0
12,4.96,0.04,1,0
13,11.59,0.09,0,0
14,21.18,0.16,1,0
15,5.88,0.05,0,0
17,3.23,0.02,1,0
18,25.58,0.2,1,0
19,12.77,0.1,0,0
20,24.82,0.19,0,0
21,27.85,0.21,0,0
22,0.75,0.01,1,0
23,8.17,0.06,0,0
0,6.98,0.05,1,0
1,3.06,0.02,1,0
2,12.38,0.1,0,0
3,19.8,0.15,0,0
4,9.91,0.08,1,0
5,19.6,0.15,1,0
6,11.19,0.09,1,0
7,8.37,0.06,1,0
8,11.04,0.08,1,0
9,20.67,0.16,0,0
10,35.83,0.28,1,0
11,3.17,0.02,0,0
12,35.92,0.28,1,0
13,4.17,0.03,0,1
14,51.55,0.4,1,0
15,1.42,0.01,1,0
17,18.94,0.15,0,0
18,18.91,0.15,0,0
19,12.5,0.1,1,0
20,24,0.19,0,0
21,24.19,0.19,0,0
22,6.67,0.05,0,1
23,46.56,0.36,1,0
0,36.5,0.24,1,0
1,14.76,0.11,1,0
2,12.45,0.1,0,0
3,13.97,0.11,0,0
4,6.48,0.05,0,0
5,4.12,0.03,1,0
6,28.62,0.22,0,0
7,1.71,0.01,1,0
8,7.87,0.06,0,1
9,96.66,0.75,1,0
10,33.75,0.26,1,0
11,11.17,0.09,1,0
12,19.54,0.15,0,1
13,40,0.31,0,0
14,31.57,0.25,0,0
15,24.89,0.19,0,0
17,25.71,0.2,1,0
18,28.75,0.23,0,0
19,13.83,0.11,1,0
20,5.77,0.05,0,0
21,1.75,0.01,1,0
22,1.91,0.01,1,0
23,17.53,0.14,0,0
0,12.98,0.1,1,0
1,2.73,0.02,1,0
2,9.96,0.08,1,0
3,1.41,0.01,1,0
4,0.25,0,1,0
5,13.25,0.1,0,0
6,2,0.02,1,0
7,6.82,0.05,1,0
8,6.56,0.05,0,0
9,0.25,0,0,0
10,1.78,0.01,1,0
11,0.55,0,1,0
17,23,0.18,1,0
18,35.06,0.27,1,0
19,17.5,0.14,1,0
20,5.52,0.04,1,1
21,41.27,0.32,1,0
22,1.99,0.02,0,0
23,19.11,0.15,1,0
0,0.08,0,1,0
1,22.5,0.17,0,0
2,26.03,0.2,1,0
3,14.82,0.11,1,0
4,0.46,0,1,0
5,6,0.05,0,0
6,25.6,0.2,0,0
7,9.75,0.08,0,0
8,12.54,0.1,0,0
9,4.96,0.04,1,0
10,20.6,0.16,1,1
11,55.33,0.43,1,0
12,33.14,0.26,0,0
13,3.06,0.02,0,0
14,0.66,0.01,1,1
15,46.87,0.36,1,0
17,19.1,0.15,0,0
18,11.45,0.09,0,0
19,0.5,0,1,0
20,7.21,0.06,0,0
21,10.96,0.08,0,0
22,4.38,0.03,1,0
23,17.82,0.14,1,0
0,14.62,0.11,0,0
1,4.5,0.03,1,0
2,18.32,0.13,0,0
3,2.22,0.02,1,0
4,0.4,0,0,0
5,1.66,0.01,1,0
6,10.73,0.07,1,0
7,9.35,0.06,1,1
8,59.13,0.41,1,0
9,8.89,0.06,1,0
10,12.86,0.09,1,0
11,0.6,0,0,0
12,10.16,0.07,1,1
13,40.34,0.28,1,0
14,5.98,0.04,0,0
15,6.62,0.05,0,0
17,10.33,0.07,0,0
18,0.92,0.01,0,0
19,8.53,0.06,0,0
20,2.88,0.02,1,0
21,5.21,0.04,0,0
22,4.96,0.03,1,0
23,5.5,0.04,1,0
0,10.72,0.07,1,0
1,4.5,0.03,1,0
2,18.32,0.13,0,0
3,2.22,0.02,1,0
4,0.4,0,0,0
5,1.66,0.01,1,0
6,10.73,0.07,1,0
7,9.35,0.06,1,1
8,59.13,0.41,1,0
9,8.89,0.06,1,0
10,12.86,0.09,1,0
11,0.6,0,0,0
12,10.16,0.07,1,1
13,40.34,0.28,1,0
14,5.98,0.04,0,0
15,6.62,0.05,0,0
17,10.33,0.07,0,0
18,0.9,0.01,0,0
19,8.5,0.06,0,0
20,2.8,0.02,1,0
21,5.21,0.04,0,0
22,4.96,0.03,1,0
23,5.5,0.04,1,0
0,1.93,0.01,0,0
1,10.72,0.07,1,0
2,9,0.06,0,0
3,2.5,0.02,1,0
4,17.04,0.12,1,0
5,11.93,0.08,0,0
6,22.72,0.16,0,0
7,3.57,0.02,1,0
8,26.94,0.19,0,0
9,0.42,0,1,0
10,10.8,0.07,1,0
11,26.8,0.18,1,0
12,0.86,0.01,0,0
13,4,0.03,1,0
14,16,0.11,1,0
15,17.67,0.12,0,0
17,3.66,0.03,1,0
18,9.19,0.06,0,0
19,2,0.01,0,0
20,6.53,0.04,0,0
21,1.62,0.01,1,0
22,3.15,0.02,1,0
23,1.92,0.01,0,0
0,11.25,0.08,1,0
1,2.61,0.02,1,0

